xstart,ystart,zstart,xend,yend,zend,color
-15.4841,-7.1656,90.0882,-15.3656,-6.7323,89.9401,4
-15.4841,-7.1656,90.0882,-15.6379,-6.4762,87.8728,4
-15.4841,-7.1656,90.0882,-15.8749,-5.6724,86.0199,4
-15.4841,-7.1656,90.0882,-15.6273,-6.0082,90.3616,4
-15.4841,-7.1656,90.0882,-15.3661,-5.8364,87.9207,4
-15.4841,-7.1656,90.0882,-15.4552,-5.6691,87.0725,4
-15.4841,-7.1656,90.0882,-15.8752,-6.5611,87.7965,4
-15.3656,-6.7323,89.9401,-15.5754,-5.1216,85.6613,4
-15.3656,-6.7323,89.9401,-15.7473,-5.1813,85.4054,4
-15.3656,-6.7323,89.9401,-15.6122,-4.8414,85.2459,4
-15.3656,-6.7323,89.9401,-15.4465,-6.9573,89.4201,4
-15.3656,-6.7323,89.9401,-15.5422,-6.7561,88.7064,4
-15.6379,-6.4762,87.8728,-15.8749,-5.6724,86.0199,4
-15.6379,-6.4762,87.8728,-15.6273,-6.0082,90.3616,4